date,rounds,num_wrong,t_in_secs,avg_time_per_round
2019-01-01 13:33:33,1,0,12,12.0
date,rounds,num_wrong,t_in_secs,avg_time_per_round
2019-01-19 14:55:07,3,1,23,7.666666666666667
