Datetime,Products,Directions,Commentary,Interesting,Links
2019-01-01 13:33:33,['VXX'],[-1],"[""i think it's way too high""]",Happy new years!,{}
Datetime,Products,Directions,Commentary,Interesting,Links
2019-01-02 05:07:12,['VXX'],[1],['new year = old vol'],I think I mighta finished this,{'fun physics story to share with maddy jahelka': 'http://www-news.uchicago.edu/releases/95/950822.chandrasekhar.shtml'}
Datetime,Products,Directions,Commentary,Interesting,Links
2019-01-19 14:55:07,['VXX'],[1],['volatility is too low'],not right now,{'random article': 'https://www.poetryfoundation.org/poems/50465/thanatopsis'}
