Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
4/26/18,16.31,-1.71,-9.48945616,18.24,0.22,1.220865705,18.24,0.22,1.220865705,16.31,-1.71,-9.48945616
4/25/18,18.02,-0.08,-0.44198895,18.57,0.47,2.596685083,19.65,1.55,8.563535912,17.96,-0.14,-0.773480663
4/24/18,18.1,1.76,10.77111383,16.27,-0.07,-0.428396573,19.58,3.24,19.82864137,15.72,-0.62,-3.794369645
4/23/18,16.34,-0.44,-2.622169249,17.1,0.32,1.907032181,17.35,0.57,3.396901073,15.81,-0.97,-5.780691299
4/20/18,16.78,0.95,6.001263424,15.67,-0.16,-1.010739103,17.33,1.5,9.47567909,15.39,-0.44,-2.779532533
4/19/18,15.83,0.5,3.261578604,15.87,0.54,3.522504892,16.55,1.22,7.958251794,15.37,0.04,0.260926288
4/18/18,15.33,0.16,1.05471325,16.5,1.33,8.767303889,16.5,1.33,8.767303889,15.12,-0.05,-0.329597891
4/17/18,15.17,-1.17,-7.160342717,16.01,-0.33,-2.019583843,16.03,-0.31,-1.897184823,14.61,-1.73,-10.5875153
4/16/18,16.34,-0.94,-5.439814815,17.13,-0.15,-0.868055556,17.14,-0.14,-0.810185185,16.25,-1.03,-5.960648148
4/13/18,17.28,-1.07,-5.83106267,17.98,-0.37,-2.016348774,18.32,-0.03,-0.163487738,17.24,-1.11,-6.049046322
4/12/18,18.35,-1.8,-8.933002481,19.64,-0.51,-2.53101737,19.64,-0.51,-2.53101737,18.04,-2.11,-10.47146402
4/11/18,20.15,-0.32,-1.563263312,20.7,0.23,1.123595506,20.72,0.25,1.221299463,19.65,-0.82,-4.005862237
4/10/18,20.47,-1.48,-6.742596811,21.48,-0.47,-2.141230068,21.8,-0.15,-0.683371298,20.35,-1.6,-7.28929385
4/9/18,21.95,0.07,0.319926874,21.92,0.04,0.182815356,22.08,0.2,0.914076782,20.57,-1.31,-5.987202925
4/6/18,21.88,2.58,13.36787565,20.95,1.65,8.549222798,23.47,4.17,21.60621762,19.61,0.31,1.606217617
4/5/18,19.3,-1.37,-6.627963232,20.73,0.06,0.290275762,20.73,0.06,0.290275762,18.98,-1.69,-8.176100629
4/4/18,20.67,-0.85,-3.949814126,24.31,2.79,12.96468401,24.31,2.79,12.96468401,20.46,-1.06,-4.925650558
4/3/18,21.52,-2.41,-10.07104053,23.41,-0.52,-2.173004597,23.54,-0.39,-1.629753448,21.46,-2.47,-10.32177183
